theta,1.0264,1.072624,1.029344,1.0588,1.045296,1.095264,1.086192,1.126208,1.14976,1.072032,1.017632,1.026,1.0344,1.05,1.08704,1.087712,1.122048,1.106944,1.032352,1.008928,1.037424,1.169728,1.155568,1.102096,1.163232,1.157616,1.133232,1.131712,1.155536,1.125552,1.135536,1.114096,1.128128,1.10552,1.063856,1.048656,1.08768,1.142752,1.203488,1.222544,1.12416,1.1564,1.130736,1.12728,1.164304,1.14184,1.089472,1.10952,1.185376,1.137504,1.055088,1.268928,1.209472,1.1732,1.204896,1.177632,1.097856,1.116016,1.199488,1.143568,1.061312,1.301264,1.249216,1.1804,1.127104,1.116144,1.128,1.108416,1.076192,1.082672,1.040032,1.026272,1.099776,1.145392,1.123936,1.153936,1.158096,1.077344,1.044048,1.02072,1.131584,1.083008,1.00456,1.0116,1.044128,1.035088,1.10672,1.172496,1.1708,1.063552,1.157808,1.156144,1.067728,1.012096,1.073056,1.07488,1.11672,1.219728,1.027776,1.126864,1.310368,1.393952,1.311744,1.212192,1.135472,1.058704,1.330512,1.365808,1.201216,1.07136,1.139488,1.1832,1.067616,1.152592,1.286688,1.27224,1.205072,1.1068,1.01328,1.01,1.234864,1.221648,1.128496,1.06544,1.030144,1.022592,1.046112,1.113424,1.128992,1.03416,1.080672,1.084,1.05872,1.058848,1.058432,1.079264,1.066672,1.08328,1.048688,1.047504,1.067312,1.039504,1.02256,1.108032,1.011072,1.027296,1.114688,1.129312,1.110096,1.138352,1.063424,1.13832,1.198432,1.132368,1.069824,1.073664,1.288592,1.148016,1.136512,1.082224,1.011696,1.230592,1.254736,1.095424,1.060416,1.1796,1.10552,1.142496,1.045168,1.120336,1.20352,1.205904,1.320912,1.178288,1.018432,1.120064,1.235488,1.24032,1.062832,1.04272,1.066512,1.016192,1.028944,1.052848,1.021584,1.0528,1.051136,1.089584,1.119712,1.017792,1.11112,1.232144,1.228064,1.242368,1.248368,1.175968,1.035712,1.110592,1.15864,1.250416,1.1528,1.123632,1.141904,1.174592,1.238384,1.18528,1.149392,1.252544,1.152864,1.025632,1.071344,1.0456,1.122752,1.352448,1.363824,1.307408,1.133856,1.201824,1.174896,1.251824,1.105968,1.060464,1.201088,1.189056,1.35032,1.330144,1.071664,1.127984,1.221472,1.242864,1.2528,1.183808,1.06688,1.096928,1.062384,1.036816,1.193376,1.198304,1.18624,1.193872,1.047984,1.165136,1.064512,1.074256,1.108784,1.163264,1.12624,1.107888,1.107952,1.113696,1.087152,1.047408,1.0416,1.112832,1.057648,1.155216,1.074608,1.049136,1.067664,1.066416,1.024928,1.08424,1.13384,1.134112,1.086,1.00552,1.077344,1.081872,1.010032,1.059776,1.112208,1.253744,1.204896,1.025344,1.074272,1.100336,1.187824,1.076832,1.00592,1.2292,1.232592,1.13448,1.054464,1.128096,1.089312,1.114944,1.11184,1.048304,1.059216,1.082832,1.13576,1.133136,1.080176
theta_g,1.051342054,1.038406235,1.08135029,1.095404233,1.023471085,1.109333814,1.130319468,1.121675165,1.16757107,1.132414141,1.08158411,1.055444274,1.037635987,1.092781135,1.073063288,1.01354114,1.042191027,1.028697191,1.0337562,1.005820484,1.016215766,1.073788743,1.036819086,1.013303698,1.069075054,1.075265069,1.071866216,1.034257849,1.136186349,1.120066727,1.050395254,1.027894938,1.048190201,1.068034413,1.00937864,1.011812719,1.08056439,1.149816487,1.163163405,1.117749691,1.032855393,1.086866156,1.068195611,1.064417013,1.156722072,1.232004744,1.249819187,1.286995238,1.351981785,1.287996267,1.180439649,1.221510519,1.122335799,1.089404225,1.237748634,1.296605805,1.293724086,1.377425303,1.439436112,1.405845339,1.358534483,1.265684157,1.167719644,1.140390696,1.137161175,1.157436707,1.265409012,1.345909633,1.310057166,1.317348767,1.347503672,1.011070144,1.134872362,1.191320867,1.121968335,1.158733674,1.239075562,1.141437725,1.029905199,1.063789993,1.146582237,1.182145037,1.159353437,1.245657514,1.320551799,1.303468385,1.244944084,1.344304283,1.325424484,1.05550431,1.256558672,1.415701457,1.22150286,1.08252132,1.174685848,1.279684441,1.511139336,1.63380845,1.22497176,1.363567112,1.465340584,1.543854286,1.501312952,1.45812291,1.297135367,1.198074868,1.158797541,1.523645126,1.396954777,1.169656984,1.157047067,1.021737537,1.0487231,1.170008726,1.115167707,1.040681551,1.044675292,1.066258914,1.589001425,1.951222174,1.227238236,1.409190324,1.178395818,1.059019657,1.056371391,1.001095378,1.008787279,1.180557211,1.137242984,1.014618304,1.187817371,1.226566316,1.239721374,1.118693826,1.140762201,1.166032347,1.014086413,1.139336136,1.11278559,1.286450183,1.497107496,1.059894807,1.002097423,1.08877986,1.124294387,1.04844061,1.231716591,1.089477332,1.074525677,1.252982915,1.076851106,1.241672181,1.433126652,1.176395478,1.330546797,1.098961967,1.344943064,1.211092368,1.002694062,1.040251728,1.014462247,1.219788642,1.265144274,1.193909506,1.121459209,1.033884185,1.086566422,1.156121734,1.005651476,1.06380571,1.17187826,1.318983701,1.156059599,1.035738495,1.014921394,1.048467759,1.212004896,1.131408958,1.193225351,1.056313519,1.039335674,1.059952785,1.253516718,1.017251514,1.003042957,1.245060564,1.085663554,1.002350742,1.024221611,1.034445634,1.026039934,1.206915908,1.35264293,1.407927078,1.247987207,1.157629745,1.059353981,1.165460178,1.103855492,1.10554688,1.140189388,1.146688354,1.20174045,1.322562152,1.42947024,1.336582414,1.137298916,1.137705866,1.177370397,1.103713125,1.126480681,1.215246565,1.274679291,1.380908938,1.486314717,1.513510309,1.259636693,1.165927323,1.058716239,1.161374532,1.165040038,1.252982085,1.545654186,1.683879438,1.834968552,1.247963621,1.055527506,1.059867848,1.152359579,1.169996623,1.212465872,1.277518032,1.390413543,1.52466535,1.07702951,1.53640877,1.015879799,1.203638955,1.233358832,1.145953943,1.06777955,1.097194024,1.118181704,1.09427208,1.043847006,1.187335681,1.14871317,1.028819431,1.203138176,1.037659945,1.111352092,1.06990685,1.124934203,1.136691774,1.151025777,1.124510549,1.173129936,1.159649993,1.141927144,1.202353927,1.214213997,1.264780062,1.391960435,1.311380584,1.248465586,1.124581226,1.262272872,1.129323423,1.090552583,1.054646397,1.127521549,1.231913794,1.015469862,1.03518718,1.130257084,1.175954329,1.151138858,1.123059859,1.129900476,1.235637301,1.181691506,1.201636028,1.03000661,1.07372415,1.226210977,1.17988469,1.121756602,1.117261458,1.125595614,1.259541557,1.107339831,1.126518549,1.005272233
theta_p,1.07368,1.113856,1.14576,1.261664,1.018176,1.049584,1.047136,1.069008,1.145344,1.164256,1.164656,1.187776,1.041488,1.060976,1.065024,1.061712,1.086864,1.143248,1.060112,1.01504,1.005088,1.123536,1.167744,0.959344,1.016608,1.053552,1.087136,1.13616,1.185648,1.23824,1.237072,0.95128,0.972848,1.037104,1.074944,1.134096,1.200288,1.22656,1.211952,1.165424,1.144432,1.016624,1.067984,1.101008,1.122864,1.198272,1.255344,1.288016,1.329408,1.212576,1.1204,1.100912,1.13408,1.1788,1.23456,1.252688,1.265216,1.32304,1.367856,1.298528,1.230304,1.141184,1.151552,1.23544,1.298944,1.298352,1.319328,1.341344,1.322016,1.346512,1.355008,1.102464,1.210656,1.252928,1.259008,1.36024,1.437568,1.37912,1.32128,1.051984,0.972416,0.965968,0.998704,1.048224,1.22688,1.306672,1.138448,1.15952,1.139856,0.900256,1.002288,1.114944,1.121488,1.082624,1.14808,1.312048,1.387728,1.487408,1.180272,1.160336,1.129968,1.099776,1.064016,1.138272,1.12216,1.11752,0.943696,1.12256,1.196704,1.091872,0.969968,0.850992,1.054224,1.060864,0.936448,0.850384,0.829088,0.90264,1.48224,1.645456,0.963024,1.087424,0.957456,0.955376,0.97568,0.970144,1.028768,1.136432,1.03208,1.015984,1.105056,1.155344,1.178288,1.1464,1.183408,1.156352,0.975024,1.132992,1.149424,1.141376,1.273328,1.190944,1.042912,1.086736,1.00952,0.959952,1.003488,1.034048,1.29824,1.420976,1.22032,1.071648,1.111648,1.085456,1.162736,1.037712,1.01808,1.03928,1.06616,1.169024,1.10312,1.024304,1.032704,1.040224,0.994416,0.933616,0.934672,0.976096,0.967872,0.916528,0.876416,0.956464,0.928032,0.883872,0.957504,0.979168,0.95296,0.88376,0.907776,1.044384,0.99496,0.9832,1.139488,1.023296,0.992816,1.128672,1.06656,1.070176,0.986784,0.999808,0.921168,0.972112,1.078128,1.15152,1.101184,1.181728,1.263232,1.030448,1.012288,1.036032,1.056048,1.09256,1.085808,1.089296,1.203744,1.191792,1.193248,1.067424,1.151504,1.088544,1.07776,1.094224,1.094064,1.177664,1.197296,1.27248,1.277696,1.148496,1.082448,1.103216,1.138848,1.160992,1.303824,1.358256,1.345216,1.240608,1.362672,1.044368,1.07512,1.122672,1.199536,1.240464,1.250976,1.284528,1.311952,1.484864,1.02032,1.158752,1.2648,1.204544,1.216032,1.210528,1.043392,1.075024,1.01824,1.010176,1.039472,1.064256,1.173584,1.026032,1.017664,1.038576,1.160704,1.019888,1.075664,1.057072,1.148816,1.16752,1.147968,1.19144,1.151568,1.133664,1.239712,1.175584,1.170256,1.086448,1.128592,1.060128,1.066816,1.036224,1.063792,1.016672,0.976432,1.081968,1.048512,1.106,1.098512,1.225584,1.216256,1.096416,1.148528,1.17408,1.278928,1.325472,1.167856,1.147968,1.14024,1.162928,1.3864,1.555104,1.2356,1.231136,1.172016
time,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168
