theta,0.914256,1.07576,1.105872,1.020864,0.964128,1.036896,1.027024,1.0228,1.03632,1.003424,0.930768,0.995088,1.06464,1.043648,0.954592,1.000176,1.018416,1.066832,1.06896,0.81632,1.02096,0.951376,1.025856,1.034352,0.92816,1.00984,1.031648,1.094432,1.125488,0.847856,1.052704,0.936368,0.996656,1.041104,0.9684,0.9856,1.091408,1.108304,1.081744,1.124544,1.052,0.990192,0.99552,1.004336,1.005648,1.028992,1.093248,1.093696,1.140544,1.322528,1.031536,1.00424,1.024944,1.034576,1.057568,1.02216,1.056624,1.086864,1.218016,1.39712,1.029344,0.941744,1.053024,1.13328,1.066176,1.026656,1.071408,1.08896,1.241968,1.439424,1.04856,0.940928,1.06888,1.104512,0.978272,1.08904,1.083568,1.106496,1.258496,1.318256,1.007136,1.057904,1.060192,1.042,1.016592,1.01192,1.053424,1.134848,1.230064,1.271232,1.046256,1.10864,1.043088,1.031872,1.094352,0.975792,1.059744,1.126176,1.146416,1.230176,1.002544,0.900256,1.063552,1.036864,1.022512,0.950896,1.029408,0.999024,0.990272,1.061024,1.080512,0.92072,1.120608,0.982848,0.990576,1.059248,0.985344,0.977616,1.06168,0.8864,1.045376,1.01088,1.109616,1.004624,1.082864,1.099424,0.89968,1.054656,0.98032,1.00712,0.996992,1.125072,1.13312,1.063152,1.17584,1.13736,0.95736,1.041824,1.026784,1.15584,1.038336,1.195536,1.154688,1.08288,1.167744,1.095024,1.0748,0.993376,1.213792,1.024304,1.0244,1.310512,1.0988,1.119152,1.161344,1.116528,1.020048,1.023408,1.12064,1.062496,0.977632,1.3244,1.144928,1.138176,1.121648,1.20352,0.952032,1.027456,1.027072,1.042032,1.009808,1.169008,1.041072,1.11216,1.13792,1.059584,1.011616,0.940432,1.023552,1.101152,1.001936,1.01904,0.988624,0.982576,1.090448,0.9492,0.990656,1.027408,1.073056,1.04384,0.983184,0.955712,1.158288,0.911072,1.094864,1.011248,0.959184,1.173952,1.071152,1.007472,1.1064,1.028208,0.958192,1.000096,1.137632,1.106944,0.967088,1.082608,1.02952,1.074432,1.089392,1.036576,1.003808,1.009376,1.09336,1.06944,1.126928,1.0836,1.06928,1.239296,1.191712,1.097968,1.18504,1.117792,1.177936,1.040784,1.206272,1.08512,1.170144,1.040864,1.310368,1.212976,1.277472,1.180672,1.210656,1.168112,1.20592,1.16536,1.013904,1.06192,1.211504,1.369216,1.335824,1.243376,1.18264,1.186448,1.20456,1.193776,0.974768,1.222944,1.227712,1.281504,1.299696,1.217936,1.233888,1.127824,1.149168,1.112128,1.051744,1.103808,1.2864,1.144784,1.220864,1.18624,1.185872,1.114944,1.0792,1.095104,1.055984,0.960352,1.070176,1.086416,1.073728,1.016736,1.122896,1.082848,0.996032,1.068064,1.023248,0.98528,0.967776,0.99816,0.99512,0.968352,1.065568,1.108736,0.95928,1.030576,1.039088,1.030912,1.110208,0.952624,1.021536,1.055696,0.987664,1.03576,0.97832,1.073328,1.06008,0.989792,1.06952,1.049584,1.126416,1.141696,1.023984,1.062848,0.987136,1.021904,1.039376,1.064944,1.132256,1.038368,1.088544,1.128576,1.048944,1.005616,1.00208,0.988928,0.976224,0.984448,1.192432,1.080256,1.083936,1.173168,1.061696,1.061168,0.984368,1.013248,1.114512,1.0504,1.22896,1.088448,1.166976,1.28744,1.216304,1.169904,1.01928,1.149584,1.232688,1.192272,1.139696,1.133456,1.222704,1.198416,1.268304,1.192576,1.087696,1.17376,1.278848,1.284224,1.079408,1.205296,1.251376,1.170176,1.220272,1.296736,1.159104,1.128416,1.339072,1.354192,1.155088,1.134656,1.176576,1.162544,1.185456,1.155232,1.182848,1.28424,1.363984,1.2536,1.187136,1.131008,1.209712,1.158512,1.198144,1.118112,1.1076,1.307232,1.420336,1.106048,1.097184,1.147584,1.251824,1.099568,1.29528,1.113488,1.074944,1.228528,1.270768,1.04464,1.05264,1.1564,1.078032,0.987632,1.418368,1.174016,1.144224,1.126704,1.332896,0.970704,1.099456,1.128224,1.033024,1.11912,1.025984,0.935264,0.991808,1.046784,1.104816,0.95672,1.229328,1.148144,1.078048,1.115984,1.037632,0.983472,0.953632,1.125072,1.046288,1.070528,1.451824,1.138624,1.141952,1.136592,1.053152,1.232736,1.046336,1.11624,1.137776,1.105328,1.142304,1.160064,1.211152,1.092544,1.131232,1.232688,1.15096,1.118544,1.187344,0.967104,1.097888,1.172096,1.221712,1.17192,1.11976,1.097616,1.190352,1.195904,1.065056,1.029008,1.134176,1.192224,1.248864,1.165808,1.06904,1.115248,1.145008,1.134688,1.15016,1.072096,1.138368,1.165696,1.260288,1.081136,1.064528,1.111312,1.089568,1.106704,1.072128,0.920736,1.241776,1.109472,1.115904,1.151568,1.09712,1.128224,1.061312,1.152624,1.062576,1.029008,1.165392,1.075696,1.137184,1.113648,1.108528,1.213792,1.078496,1.166592,1.066016,1.132688,1.15408,1.0932,1.227696,1.09424,1.089456,1.211216,1.188912,1.076064,1.1392,1.203728
theta_g,0.91567801,0.964797171,1.002064203,0.98439537,0.926778136,0.96553178,1.087071156,0.979638922,0.936401261,1.336076983,0.837954928,0.95085155,0.985124252,1.009488288,1.022776077,0.955801509,0.978502081,0.965456443,0.987483108,1.259076678,0.874026373,0.97183775,0.956893442,0.981593461,1.09178346,1.027638582,0.941845488,0.978752978,1.195127216,1.443002705,0.862032621,0.976469531,0.994861019,0.993011855,1.039637784,0.95405443,0.960995921,0.935806645,0.938159427,1.193780957,0.842453697,0.969271514,1.055041774,1.04588963,1.010701234,0.911086102,0.85334224,0.821854494,0.85995401,1.055138217,0.878853883,0.971957244,1.053971517,1.022859053,0.9653289,0.918796687,0.872777257,0.864133705,0.91021966,1.042204699,0.990492323,0.962894122,1.066976909,1.049038453,0.925048786,1.012040721,0.934536194,0.884057773,0.877896705,0.997884354,1.102170374,0.918759157,1.0887425,1.095901157,0.945461857,1.260707411,0.926280121,0.816578006,1.012116898,1.136146899,1.03820693,1.010219739,1.051469206,1.022502365,0.972159203,1.052288837,1.072652892,1.030805998,1.109848346,1.268840393,1.120953904,0.997606258,0.956674106,0.96851182,1.000568539,0.953217099,1.094570192,1.183610786,1.197127795,1.322916975,0.672087383,0.738528539,1.09055265,0.875628456,0.861756319,0.957498281,0.870566747,0.751800057,0.867126017,0.708245934,0.741409435,0.754729823,1.237936861,0.904776239,0.880149351,0.924463582,0.892205366,0.768726271,0.944599321,0.603116129,0.825764982,0.763928853,1.328889216,0.965716438,0.973512112,1.092231441,0.818621766,0.756380302,0.839378782,0.743745697,0.874692323,0.910039955,1.280429032,0.911630869,1.126026608,1.096846822,0.885948404,0.708800642,0.902208044,0.902830859,0.960051413,1.024149907,1.159295105,0.913151989,1.173106374,0.950925274,0.885000742,0.783675352,0.990671237,0.949914473,1.099684716,1.065656934,1.005388636,0.97202725,1.11257425,1.170366349,0.731808479,0.904294246,0.810777233,1.003538069,1.154443441,1.126571109,0.947411636,1.028570385,1.082685807,1.29114186,0.685216362,0.933677906,0.801736627,0.913154376,1.066697721,1.249828588,0.807202369,1.230447006,1.005919943,1.163162728,0.716178101,0.900092851,0.834388231,1.020495297,1.016518065,1.185775669,0.6833439,1.164005911,0.929096453,1.028840136,0.713552848,0.944230955,0.861413273,1.016641179,1.040256484,1.044964999,0.749735021,0.972198654,0.950772136,1.026564787,0.698420166,1.019982952,0.74376162,1.101440603,0.92071805,0.918024688,0.929324665,1.003577295,1.31344554,0.834871344,0.861186772,1.29849943,0.950463047,1.11818568,1.066632438,0.892387553,0.891990393,0.909668823,1.181939326,0.993693221,0.945126814,1.207230234,1.009479631,1.332646268,1.102655674,0.934118493,1.179145757,0.98332831,1.125960965,0.994215163,1.097642761,1.087547274,1.031457522,1.149687713,1.208755848,1.048585518,1.494655511,1.050139893,1.128800893,1.096574463,1.105149375,1.122201131,1.045171337,0.860790152,1.034037807,1.463955463,1.49401042,1.198744044,1.115689159,1.168982711,1.077631934,1.130214992,1.012722669,1.01710592,1.01479733,1.435839013,1.258907026,1.255790313,1.179801009,1.332066339,0.949610581,1.08348216,0.845688456,1.241086788,1.368011556,1.23794067,1.25930122,1.407104054,1.187745111,1.38189667,0.915435828,1.024895044,0.98823998,0.85507172,1.197900381,1.30802307,1.282423186,1.328651233,1.022755343,1.186808411,0.932361265,0.873421823,1.004779569,0.804807534,1.165747339,1.289246786,1.04860943,1.066937708,0.832342253,1.096202298,0.915900297,0.903697457,0.888164695,0.937457471,1.262954049,1.028392085,0.954461235,0.94819552,0.756078082,0.950641058,0.852457967,0.891199339,0.8881142,1.019939402,1.223728699,1.137397671,0.937190123,1.008896275,1.041606307,1.080529202,0.818107297,1.020253129,0.88771199,0.567951735,1.174733733,1.104869799,1.074299316,0.946400909,1.038776767,1.134969288,1.006123972,1.068060992,1.116301395,0.722007916,1.209181414,0.99846488,1.084274518,1.114105987,1.143973952,1.267312235,1.112774267,1.176959568,1.19727876,1.266656537,1.184078992,1.073057335,1.090263097,1.290089595,1.263462627,1.467681359,1.166270213,1.325028214,1.296334391,1.170155261,1.157022344,1.122865111,1.086327335,1.414963632,1.357376427,1.48337213,1.242546402,1.33576092,1.445827176,1.259396503,1.288418803,1.085090365,1.174989302,1.095168733,1.391637631,1.609001853,1.177030759,1.297452398,1.507006374,1.1380873,1.158877254,1.056436218,1.182316326,1.124862997,1.441615312,1.25001741,1.323858856,1.278387555,1.713216119,1.005878003,1.292898714,1.143488271,1.108979758,1.215389103,1.243627803,1.094189633,1.048328959,1.364290025,1.394759811,1.099333064,1.278823503,1.099157197,1.283841363,1.072777729,1.180717072,1.102449184,0.75360443,1.503269421,0.867280108,0.889868601,1.209467471,1.004448769,1.160214491,0.945266407,1.39804243,1.152738683,0.863104358,1.174796746,0.683844976,0.657505487,1.102026421,1.180075057,1.018892365,1.227468003,0.964613296,0.966853706,1.045006257,1.126840942,1.052369494,0.874964538,1.036107055,1.177562253,1.053191534,1.142534749,1.147885371,1.111909604,1.184927017,1.29947095,1.001034089,1.012154724,1.280905011,1.157106584,1.049685713,1.3050364,1.275290248,1.364439947,1.250142167,1.267780615,1.23142728,1.121951938,1.174237841,1.15101917,1.144965262,1.342148605,1.297431251,1.491352524,1.371971072,1.314106218,1.541444965,1.1993648,1.175842454,1.134066303,1.226230061,1.542198611,1.154163061,1.350870789,1.355240023,1.514129423,1.406794874,1.325576534,1.369241157,1.050560213,1.427457374,1.437550639,1.10694484,1.218598583,1.136766487,1.342043697,1.265317405,1.109333141,1.192238746,1.162218081,1.403275217,1.131455889,1.166639909,1.183258647,1.05050242,1.029593846,1.007323294,0.694118714,1.158786319,1.208026868,1.195202934,1.194598177,1.241229155,1.217789631,1.076092339,1.05216623,1.005797025,1.046261655,1.052292474,1.225917408,1.24533233,1.173027002,1.184971824,1.278021064,1.26896709,1.116751007,1.079677737,1.098756396,0.891147554,1.396735588,1.262779623,1.261317654,1.041677534,1.22174143,1.392668748,1.06515785,1.039313299,1.189063558
theta_p,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248,1.11747248
time,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168
