theta,theta_g
1.069312,1.051704332
1.045392,1.562767785
1.061536,1.619915313
1.073264,1.231741366
1.146064,1.234771183
1.02096,1.028646843
1.151248,1.421321831
1.149184,1.028939424
1.221264,1.495356976
1.120368,1.071310862
1.127536,1.300341219
1.267616,1.097883849
1.245984,1.212929402
1.410448,1.707976396
1.249808,1.186868539
1.160992,1.052448322
1.0176,1.099120094
1.151936,1.199255757
1.00072,1.036603132
1.146112,1.232666945
1.100352,1.550349198
1.643184,1.16043786
1.34944,1.65198626
1.51024,1.443382272
1.367824,1.390544113
1.299328,1.117359448
1.146576,1.064903163
1.092912,1.143693413
1.67192,1.856832359
1.598048,1.823779383
1.344,1.421039692
1.252176,1.271943824
1.091488,1.116575812
1.189664,1.039286252
1.613088,1.474576116
1.527392,1.320717751
1.341712,1.359381605
1.402064,1.364433557
1.178304,1.358909261
1.430336,1.429560125
1.373248,1.449820193
1.466,1.680421424
1.538016,1.609864991
1.387264,1.260438428
1.131184,1.407661296
1.18888,1.247975329
1.3272,1.61641495
1.321568,1.438775261
1.077184,1.581237265
1.036224,1.130626071
1.12376,1.060237647
1.084912,1.010547239
1.060976,1.000684483
1.03232,1.029295518
0.987568,1.131129585
1.08616,0.928080565
1.04936,0.951053499
0.973856,1.03717202
1.06808,1.071018799
1.023632,0.813809726
1.122912,0.943946519
1.046368,0.737868219
1.012176,0.524316011
1.058208,1.048782744
0.99208,0.941087085
1.001696,0.971050188
1.105168,0.885860972
1.106832,1.00829225
1.021264,1.195275463
0.920368,0.99207363
0.8332,1.034077612
0.828208,1.197677188
0.925264,0.837139911
1.097536,1.080231082
0.990208,0.88427548
1.032896,0.918218113
1.190544,1.040023319
1.02008,1.12817291
1.005648,1.237303323
0.963312,1.226089713
1.041488,1.466235526
1.174416,1.21903339
1.072448,1.293755268
1.342416,1.163386402
1.181664,1.004323228
1.134256,0.984587215
1.178048,1.2338623
1.191632,1.365846345
1.226944,1.779437103
1.071152,1.265244786
1.21824,1.305539389
1.32576,1.201178036
1.323376,1.073179967
1.271312,1.208576984
1.152992,1.162048126
1.211072,1.054517905
1.3236,1.429064473
1.556112,1.623023074
1.464368,1.987012051
1.347392,1.697684829
1.45968,1.593749502
1.4908,1.617192352
1.309312,1.323640375
1.17432,1.460245966
1.392496,1.202545119
1.559712,1.299227388
1.33968,1.242171539
1.369952,1.593564519
1.470272,1.931516605
1.350896,1.54024737
1.39616,1.817192688
1.580224,1.992360739
1.54328,1.254290699
1.43056,1.307439076
1.302752,1.242565434
1.1964,1.291258865
1.240704,1.242608877
1.224848,1.767621245
1.2892,1.593597942
1.597824,1.822124672
1.749904,1.813150098
1.737056,2.339730122
1.361744,1.198411539
1.3984,1.473600059
1.273488,1.155907675
1.511568,1.281773621
1.27112,1.402349656
1.262224,1.544405795
1.33304,1.676565557
1.31728,1.775344091
1.759168,2.423904455
1.882352,1.723870764
1.182928,1.163386375
1.223776,1.339097352
1.392832,1.249542641
1.552544,1.499201724
1.249488,1.167874078
1.481376,1.464172124
1.181472,1.559674969
1.176352,1.208779164
1.295008,1.608654906
1.212784,1.135811807
1.032944,1.491842621
1.169872,1.21026563
1.373968,1.018237943
1.276304,1.347631908
1.12632,1.105816764
1.64936,1.555623119
1.229088,1.254047037
1.261296,0.763209263
1.25816,0.959475028
1.441248,0.951266649
0.987184,0.913978274
1.162688,1.22784799
1.206048,1.306616988
1.094976,1.026284397
1.236288,1.279124925
1.18,1.110961734
1.036048,1.09294213
0.984672,1.04968219
1.020032,1.067747418
1.217472,1.082822608
1.047744,1.062180999
1.227248,0.975278072
1.189744,1.077863746
1.197696,1.100076946
1.207888,1.232291971
1.031616,1.298851545
0.963376,1.265321952
0.991088,1.256612046
1.1604,1.462292683
1.0176,1.097195395
1.111216,1.00794443
1.606224,1.53692242
1.125632,1.216841326
1.089168,1.03594443
1.122944,1.414463329
1.113856,1.462239864
1.42424,1.501704878
1.113312,1.457847962
1.158752,1.468869924
1.175728,1.379634473
1.147856,1.336598053
1.081504,1.007498279
1.155472,1.102304555
1.166944,1.141381575
1.053472,1.483590921
1.157296,1.497471098
1.33328,1.836844761
1.296816,1.86611027
1.228848,1.651663425
1.250992,1.845453092
0.93592,1.258611277
1.079984,1.127593541
1.125184,0.949669039
1.038976,0.908408584
0.954256,1.269224661
1.108176,1.263040772
1.164704,1.681135303
1.260864,1.478266756
1.147936,1.512227236
0.98696,1.514984228
1.005024,1.370018164
1.196368,1.448080541
1.31952,1.214192198
1.562352,1.745257134
1.188848,1.374834151
0.960288,1.069705029
1.085136,1.425401751
1.051216,1.359553404
0.999232,1.632455181
0.946992,1.451269201
0.83976,1.538365779
1.353856,1.200034747
1.1872,1.192620724
1.205984,1.486623545
1.156672,1.284189688
0.990432,1.110481813
0.943936,1.150097657
1.01528,1.39029192
0.945792,1.436250339
0.858368,1.131304431
0.79432,0.61105595
1.166176,1.152622395
1.21424,1.411549225
1.311392,1.362125225
1.236912,1.337656817
1.101184,1.408390104
1.064448,1.330956354
0.948368,1.277284634
1.075808,1.141033358
1.060912,1.129998925
0.892896,1.129332136
1.422944,1.300154072
1.320576,1.439866966
1.285936,1.496381091
1.159296,1.095801015
1.16752,1.223408443
1.18672,1.36937455
1.078272,1.254777326
1.303872,1.204163044
1.198464,1.064587455
1.179968,1.058035761
1.245472,1.096278936
1.212992,1.620985786
1.361488,1.42007331
1.143856,1.434663676
1.120208,1.002634499
1.259664,1.346266068
1.260352,1.723697801
1.20616,1.16789243
1.267856,1.136518713
1.29312,1.188446542
