theta,theta_g,time,theta_p
1.0264,1.051342054,24,1.125435577
1.072624,1.038406235,24,1.125435577
1.029344,1.08135029,24,1.125435577
1.0588,1.095404233,24,1.125435577
1.045296,1.023471085,24,1.125435577
1.095264,1.109333814,24,1.125435577
1.086192,1.130319468,24,1.125435577
1.126208,1.121675165,24,1.125435577
1.14976,1.16757107,24,1.125435577
1.072032,1.132414141,24,1.125435577
1.017632,1.08158411,24,1.125435577
1.026,1.055444274,24,1.125435577
1.0344,1.037635987,24,1.125435577
1.05,1.092781135,24,1.125435577
1.08704,1.073063288,24,1.125435577
1.087712,1.01354114,24,1.125435577
1.122048,1.042191027,24,1.125435577
1.106944,1.028697191,24,1.125435577
1.032352,1.0337562,24,1.125435577
1.008928,1.005820484,24,1.125435577
1.037424,1.016215766,24,1.125435577
1.169728,1.073788743,24,1.125435577
1.155568,1.036819086,24,1.125435577
1.102096,1.013303698,24,1.125435577
1.163232,1.069075054,24,1.125435577
1.157616,1.075265069,24,1.125435577
1.133232,1.071866216,24,1.125435577
1.131712,1.034257849,24,1.125435577
1.155536,1.136186349,24,1.125435577
1.125552,1.120066727,24,1.125435577
1.135536,1.050395254,24,1.125435577
1.114096,1.027894938,24,1.125435577
1.128128,1.048190201,24,1.125435577
1.10552,1.068034413,24,1.125435577
1.063856,1.00937864,24,1.125435577
1.048656,1.011812719,24,1.125435577
1.08768,1.08056439,24,1.125435577
1.142752,1.149816487,24,1.125435577
1.203488,1.163163405,24,1.125435577
1.222544,1.117749691,24,1.125435577
1.12416,1.032855393,24,1.125435577
1.1564,1.086866156,24,1.125435577
1.130736,1.068195611,24,1.125435577
1.12728,1.064417013,24,1.125435577
1.164304,1.156722072,24,1.125435577
1.14184,1.232004744,24,1.125435577
1.089472,1.249819187,24,1.125435577
1.10952,1.286995238,24,1.125435577
1.185376,1.351981785,24,1.125435577
1.137504,1.287996267,24,1.125435577
1.055088,1.180439649,24,1.125435577
1.268928,1.221510519,24,1.125435577
1.209472,1.122335799,24,1.125435577
1.1732,1.089404225,24,1.125435577
1.204896,1.237748634,24,1.125435577
1.177632,1.296605805,24,1.125435577
1.097856,1.293724086,24,1.125435577
1.116016,1.377425303,24,1.125435577
1.199488,1.439436112,24,1.125435577
1.143568,1.405845339,24,1.125435577
1.061312,1.358534483,24,1.125435577
1.301264,1.265684157,24,1.125435577
1.249216,1.167719644,24,1.125435577
1.1804,1.140390696,24,1.125435577
1.127104,1.137161175,24,1.125435577
1.116144,1.157436707,24,1.125435577
1.128,1.265409012,24,1.125435577
1.108416,1.345909633,24,1.125435577
1.076192,1.310057166,24,1.125435577
1.082672,1.317348767,24,1.125435577
1.040032,1.347503672,24,1.125435577
1.026272,1.011070144,24,1.125435577
1.099776,1.134872362,24,1.125435577
1.145392,1.191320867,24,1.125435577
1.123936,1.121968335,24,1.125435577
1.153936,1.158733674,24,1.125435577
1.158096,1.239075562,24,1.125435577
1.077344,1.141437725,24,1.125435577
1.044048,1.029905199,24,1.125435577
1.02072,1.063789993,72,1.125435577
1.131584,1.146582237,72,1.125435577
1.083008,1.182145037,72,1.125435577
1.00456,1.159353437,72,1.125435577
1.0116,1.245657514,72,1.125435577
1.044128,1.320551799,72,1.125435577
1.035088,1.303468385,72,1.125435577
1.10672,1.244944084,72,1.125435577
1.172496,1.344304283,72,1.125435577
1.1708,1.325424484,72,1.125435577
1.063552,1.05550431,72,1.125435577
1.157808,1.256558672,72,1.125435577
1.156144,1.415701457,72,1.125435577
1.067728,1.22150286,72,1.125435577
1.012096,1.08252132,72,1.125435577
1.073056,1.174685848,72,1.125435577
1.07488,1.279684441,72,1.125435577
1.11672,1.511139336,72,1.125435577
1.219728,1.63380845,72,1.125435577
1.027776,1.22497176,72,1.125435577
1.126864,1.363567112,72,1.125435577
