theta,theta_g,time,theta_p
1.013248,1.176959568,168,1.11747248
1.114512,1.19727876,168,1.11747248
1.0504,1.266656537,168,1.11747248
1.22896,1.184078992,168,1.11747248
1.088448,1.073057335,168,1.11747248
1.166976,1.090263097,168,1.11747248
1.28744,1.290089595,168,1.11747248
1.216304,1.263462627,168,1.11747248
1.169904,1.467681359,168,1.11747248
1.01928,1.166270213,168,1.11747248
1.149584,1.325028214,168,1.11747248
1.232688,1.296334391,168,1.11747248
1.192272,1.170155261,168,1.11747248
1.139696,1.157022344,168,1.11747248
1.133456,1.122865111,168,1.11747248
1.222704,1.086327335,168,1.11747248
1.198416,1.414963632,168,1.11747248
1.268304,1.357376427,168,1.11747248
1.192576,1.48337213,168,1.11747248
1.087696,1.242546402,168,1.11747248
1.17376,1.33576092,168,1.11747248
1.278848,1.445827176,168,1.11747248
1.284224,1.259396503,168,1.11747248
1.079408,1.288418803,168,1.11747248
1.205296,1.085090365,168,1.11747248
1.251376,1.174989302,168,1.11747248
1.170176,1.095168733,168,1.11747248
1.220272,1.391637631,168,1.11747248
1.296736,1.609001853,168,1.11747248
1.159104,1.177030759,168,1.11747248
1.128416,1.297452398,168,1.11747248
1.339072,1.507006374,168,1.11747248
1.354192,1.1380873,168,1.11747248
1.155088,1.158877254,168,1.11747248
1.134656,1.056436218,168,1.11747248
1.176576,1.182316326,168,1.11747248
1.162544,1.124862997,168,1.11747248
1.185456,1.441615312,168,1.11747248
1.155232,1.25001741,168,1.11747248
1.182848,1.323858856,168,1.11747248
1.28424,1.278387555,168,1.11747248
1.363984,1.713216119,168,1.11747248
1.2536,1.005878003,168,1.11747248
1.187136,1.292898714,168,1.11747248
1.131008,1.143488271,168,1.11747248
1.209712,1.108979758,168,1.11747248
1.158512,1.215389103,168,1.11747248
1.198144,1.243627803,168,1.11747248
1.118112,1.094189633,168,1.11747248
1.1076,1.048328959,168,1.11747248
1.307232,1.364290025,168,1.11747248
1.420336,1.394759811,168,1.11747248
1.106048,1.099333064,168,1.11747248
1.097184,1.278823503,168,1.11747248
1.147584,1.099157197,168,1.11747248
1.251824,1.283841363,168,1.11747248
1.099568,1.072777729,168,1.11747248
1.29528,1.180717072,168,1.11747248
1.113488,1.102449184,168,1.11747248
1.228528,1.503269421,168,1.11747248
1.05264,1.209467471,168,1.11747248
1.1564,1.004448769,168,1.11747248
1.078032,1.160214491,168,1.11747248
1.418368,1.39804243,168,1.11747248
1.174016,1.152738683,168,1.11747248
1.126704,1.174796746,168,1.11747248
1.099456,1.102026421,168,1.11747248
1.128224,1.180075057,168,1.11747248
1.033024,1.018892365,168,1.11747248
1.11912,1.227468003,168,1.11747248
1.046784,1.126840942,168,1.11747248
1.104816,1.052369494,168,1.11747248
1.229328,1.036107055,168,1.11747248
1.148144,1.177562253,168,1.11747248
1.078048,1.053191534,168,1.11747248
1.115984,1.142534749,168,1.11747248
1.037632,1.147885371,168,1.11747248
1.125072,1.29947095,168,1.11747248
1.046288,1.001034089,168,1.11747248
1.070528,1.012154724,168,1.11747248
1.451824,1.280905011,168,1.11747248
1.138624,1.157106584,168,1.11747248
1.141952,1.049685713,168,1.11747248
1.136592,1.3050364,168,1.11747248
1.053152,1.275290248,168,1.11747248
1.232736,1.364439947,168,1.11747248
1.046336,1.250142167,168,1.11747248
1.11624,1.267780615,168,1.11747248
1.137776,1.23142728,168,1.11747248
1.105328,1.121951938,168,1.11747248
1.142304,1.174237841,168,1.11747248
1.160064,1.15101917,168,1.11747248
1.211152,1.144965262,168,1.11747248
1.092544,1.342148605,168,1.11747248
1.131232,1.297431251,168,1.11747248
1.232688,1.491352524,168,1.11747248
1.15096,1.371971072,168,1.11747248
1.118544,1.314106218,168,1.11747248
1.187344,1.541444965,168,1.11747248
1.097888,1.175842454,168,1.11747248
1.172096,1.134066303,168,1.11747248
1.221712,1.226230061,168,1.11747248
1.17192,1.542198611,168,1.11747248
1.11976,1.154163061,168,1.11747248
1.097616,1.350870789,168,1.11747248
1.190352,1.355240023,168,1.11747248
1.195904,1.514129423,168,1.11747248
1.065056,1.406794874,168,1.11747248
1.029008,1.325576534,168,1.11747248
1.134176,1.369241157,168,1.11747248
1.192224,1.050560213,168,1.11747248
